dataset,exact_match_accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,samples_f1,hamming_loss,no_event_accuracy
Validation Set: In-Distribution,0.40555555555555556,0.7575684245371215,0.6826666666666668,0.7139673984733896,0.75,0.6826666666666666,0.714751046998604,0.6699537037037037,0.17027777777777778,0.26666666666666666
OOD Test A: Shifted Event Parameters,0.2722222222222222,0.6493344731584456,0.5662222222222223,0.6018859163940239,0.6621621621621622,0.5662222222222222,0.6104456157163393,0.5534722222222223,0.22583333333333333,0.13333333333333333
OOD Test B: Harder Backgrounds,0.23055555555555557,0.5988763340795595,0.5688888888888889,0.5794822865569482,0.5866177818515124,0.5688888888888889,0.5776173285198556,0.535462962962963,0.26,0.15555555555555556
