,precision,recall,f1-score,support
mean_shift,0.5148514851485149,0.3466666666666667,0.41434262948207173,300.0
variance_shift,0.5808383233532934,0.3233333333333333,0.41541755888650966,300.0
trend_shift,0.48484848484848486,0.48,0.4824120603015075,300.0
point_anomaly,0.7068403908794788,0.7233333333333334,0.71499176276771,300.0
collective_anomaly,0.8008130081300813,0.6566666666666666,0.7216117216117216,300.0
micro avg,0.6226415094339622,0.506,0.5582934902537697,1500.0
macro avg,0.6176383384719706,0.506,0.5497551466099042,1500.0
weighted avg,0.6176383384719707,0.506,0.5497551466099041,1500.0
samples avg,0.5793402777777777,0.4817708333333333,0.5009375,1500.0
