dataset,setting_default,point_anomaly_threshold_default,collective_anomaly_threshold_default,loss_default,shift_loss_default,anomaly_loss_default,pointwise_macro_f1_default,pointwise_micro_f1_default,pointwise_macro_precision_default,pointwise_macro_recall_default,pointwise_hamming_loss_default,mean_shift_regime_accuracy_default,variance_shift_regime_accuracy_default,trend_shift_regime_accuracy_default,setting_tuned,point_anomaly_threshold_tuned,collective_anomaly_threshold_tuned,loss_tuned,shift_loss_tuned,anomaly_loss_tuned,pointwise_macro_f1_tuned,pointwise_micro_f1_tuned,pointwise_macro_precision_tuned,pointwise_macro_recall_tuned,pointwise_hamming_loss_tuned,mean_shift_regime_accuracy_tuned,variance_shift_regime_accuracy_tuned,trend_shift_regime_accuracy_tuned,point_anomaly_threshold_change,collective_anomaly_threshold_change,loss_change,shift_loss_change,anomaly_loss_change,pointwise_macro_f1_change,pointwise_micro_f1_change,pointwise_macro_precision_change,pointwise_macro_recall_change,pointwise_hamming_loss_change,mean_shift_regime_accuracy_change,variance_shift_regime_accuracy_change,trend_shift_regime_accuracy_change
validation,default_0.5,0.5,0.5,0.536289197868771,0.327264584435357,0.20902461105336745,0.6596337815640908,0.7270163847186538,0.6868107999108995,0.7318437429119915,0.054859375,0.9056614583333333,0.9008177083333333,0.8745677083333333,tuned,0.9300000000000002,0.9500000000000002,0.536289197868771,0.327264584435357,0.20902461105336745,0.7026976672665575,0.7284806630793869,0.7495889020393992,0.6824188023198585,0.05427916666666667,0.9056614583333333,0.9008177083333333,0.8745677083333333,0.43000000000000016,0.4500000000000002,0.0,0.0,0.0,0.043063885702466664,0.00146427836073304,0.06277810212849966,-0.04942494059213298,-0.0005802083333333319,0.0,0.0,0.0
ood_params,default_0.5,0.5,0.5,0.687593854798211,0.48630100356207956,0.20129284900095729,0.5249974597798333,0.5627074637961228,0.6021523869706142,0.48440285575689324,0.08210729166666667,0.8696475694444444,0.8596736111111111,0.8199670138888889,tuned,0.9300000000000002,0.9500000000000002,0.687593854798211,0.48630100356207956,0.20129284900095729,0.5202573568270574,0.5610490735266228,0.6341237142479214,0.453282323532732,0.081975,0.8696475694444444,0.8596736111111111,0.8199670138888889,0.43000000000000016,0.4500000000000002,0.0,0.0,0.0,-0.0047401029527758265,-0.0016583902694999875,0.031971327277307116,-0.031120532224161224,-0.00013229166666665904,0.0,0.0,0.0
ood_background,default_0.5,0.5,0.5,1.141483614179823,0.5901572002304925,0.5513264172193076,0.4938446318428924,0.47195443306137436,0.49717726579500265,0.6016715355838433,0.11285763888888889,0.7450885416666667,0.8291788194444445,0.8262951388888888,tuned,0.9300000000000002,0.9500000000000002,1.141483614179823,0.5901572002304925,0.5513264172193076,0.5205316687743384,0.47121424755469365,0.5445830280592039,0.5461122305637137,0.11238368055555556,0.7450885416666667,0.8291788194444445,0.8262951388888888,0.43000000000000016,0.4500000000000002,0.0,0.0,0.0,0.02668703693144603,-0.0007401855066807017,0.047405762264201234,-0.05555930502012962,-0.0004739583333333297,0.0,0.0,0.0
