epoch,train_loss,val_loss,train_exact_match_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_micro_precision,train_micro_recall,train_micro_f1,train_samples_f1,train_hamming_loss,train_no_event_accuracy,val_exact_match_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_micro_precision,val_micro_recall,val_micro_f1,val_samples_f1,val_hamming_loss,val_no_event_accuracy
1,0.6098000041643779,0.579510690106286,0.07791666666666666,0.41517345399698347,0.04666666666666667,0.07921703463237353,0.4396984924623116,0.04666666666666667,0.08437801350048216,0.04952777777777777,0.3165,0.9466666666666667,0.10833333333333334,0.38986479591836737,0.18222222222222223,0.23298849285333906,0.6029411764705882,0.18222222222222223,0.27986348122866894,0.19282407407407404,0.29305555555555557,0.6666666666666666
2,0.5740682077407837,0.5622295127974616,0.11291666666666667,0.505817524841915,0.15813333333333332,0.21808756835170615,0.6530837004405287,0.15813333333333332,0.25461571489909834,0.17777777777777776,0.28933333333333333,0.8466666666666667,0.11944444444444445,0.39157928108081747,0.2462222222222222,0.2945389529296666,0.6487119437939111,0.24622222222222223,0.35695876288659795,0.26435185185185184,0.2772222222222222,0.6888888888888889
3,0.552092030843099,0.5368589560190836,0.13541666666666666,0.49001769151235874,0.24266666666666667,0.3067728462457794,0.6888720666161998,0.24266666666666667,0.3589035693157168,0.27020833333333333,0.27091666666666664,0.76,0.14166666666666666,0.5363397267303869,0.29333333333333333,0.3673397335524807,0.717391304347826,0.29333333333333333,0.416403785488959,0.3349537037037037,0.2569444444444444,0.5111111111111111
4,0.5368800806999207,0.5335350844595167,0.15875,0.5402363686730874,0.2770666666666667,0.3409945978927535,0.7332392378263938,0.2770666666666667,0.4021676020901877,0.3154861111111111,0.2574166666666667,0.7866666666666666,0.1625,0.42345203457727176,0.3431111111111111,0.36941592577936067,0.6831858407079646,0.3431111111111111,0.45680473372781066,0.38819444444444445,0.255,0.5333333333333333
5,0.5244950298468272,0.5118948068883684,0.17041666666666666,0.7007110933852662,0.29599999999999993,0.36151416968711036,0.7520325203252033,0.296,0.42479908151549944,0.33923611111111107,0.2505,0.8066666666666666,0.16111111111111112,0.4821691711525311,0.2817777777777778,0.35307253562568464,0.7905236907730673,0.2817777777777778,0.41546526867627787,0.3229166666666667,0.2477777777777778,0.8666666666666667
6,0.5129211072127025,0.50795402791765,0.16833333333333333,0.6886826591101557,0.3056,0.3740164001151548,0.762982689747004,0.3056,0.4364051789794364,0.3499305555555555,0.24666666666666667,0.7666666666666667,0.18472222222222223,0.5984710325599374,0.33066666666666666,0.407508937450414,0.7701863354037267,0.33066666666666666,0.4626865671641791,0.3746759259259259,0.24,0.8
7,0.5064312899112702,0.4957075364059872,0.17625,0.7109817806849854,0.32266666666666666,0.3932283305274303,0.7605279698302954,0.32266666666666666,0.4530986706609249,0.364361111111111,0.24341666666666667,0.78,0.18888888888888888,0.6519672423720022,0.3084444444444444,0.40410792341612717,0.8401937046004843,0.30844444444444447,0.45123537061118335,0.35578703703703696,0.23444444444444446,0.9777777777777777
8,0.4981990957260132,0.4886528021759457,0.19291666666666665,0.7173082156119988,0.34800000000000003,0.43446629415925975,0.7667450058754407,0.348,0.4787234042553192,0.39220833333333327,0.23683333333333334,0.7933333333333333,0.19583333333333333,0.842154559953603,0.35200000000000004,0.44273952414954615,0.8114754098360656,0.352,0.49101053936763794,0.39078703703703704,0.22805555555555557,0.8888888888888888
9,0.4936435862382253,0.48267430596881444,0.19791666666666666,0.7502988510370282,0.3642666666666666,0.45564638032752336,0.770011273957159,0.3642666666666667,0.4945691527878349,0.40730555555555553,0.23266666666666666,0.7666666666666667,0.2125,0.7904689282947113,0.37422222222222223,0.4804391973443144,0.8111753371868978,0.37422222222222223,0.5121654501216545,0.4282407407407407,0.22277777777777777,0.7333333333333333
10,0.48431783318519595,0.47331647674242655,0.21458333333333332,0.7581931546536798,0.39733333333333337,0.5002428077257017,0.7821522309711286,0.3973333333333333,0.5269672855879752,0.4414166666666666,0.22291666666666668,0.74,0.2152777777777778,0.8121179243482576,0.37777777777777777,0.4800134760601208,0.8095238095238095,0.37777777777777777,0.5151515151515151,0.4293981481481481,0.2222222222222222,0.8222222222222222
11,0.4758445433775584,0.470332047674391,0.22916666666666666,0.7761657837297438,0.4149333333333334,0.5168489072890179,0.7846696923852748,0.4149333333333333,0.5428222571079714,0.4572083333333333,0.21841666666666668,0.7533333333333333,0.24583333333333332,0.7995543451476415,0.4097777777777778,0.5218884540112768,0.8101933216168717,0.4097777777777778,0.5442739079102715,0.46342592592592585,0.21444444444444444,0.8
