dataset,setting,point_anomaly_threshold,collective_anomaly_threshold,loss,shift_loss,anomaly_loss,pointwise_macro_f1,pointwise_micro_f1,pointwise_macro_precision,pointwise_macro_recall,pointwise_hamming_loss,mean_shift_regime_accuracy,variance_shift_regime_accuracy,trend_shift_regime_accuracy
validation,default_0.5,0.5,0.5,0.536289197868771,0.327264584435357,0.20902461105336745,0.6596337815640908,0.7270163847186538,0.6868107999108995,0.7318437429119915,0.054859375,0.9056614583333333,0.9008177083333333,0.8745677083333333
ood_params,default_0.5,0.5,0.5,0.687593854798211,0.48630100356207956,0.20129284900095729,0.5249974597798333,0.5627074637961228,0.6021523869706142,0.48440285575689324,0.08210729166666667,0.8696475694444444,0.8596736111111111,0.8199670138888889
ood_background,default_0.5,0.5,0.5,1.141483614179823,0.5901572002304925,0.5513264172193076,0.4938446318428924,0.47195443306137436,0.49717726579500265,0.6016715355838433,0.11285763888888889,0.7450885416666667,0.8291788194444445,0.8262951388888888
validation,tuned,0.9300000000000002,0.9500000000000002,0.536289197868771,0.327264584435357,0.20902461105336745,0.7026976672665575,0.7284806630793869,0.7495889020393992,0.6824188023198585,0.05427916666666667,0.9056614583333333,0.9008177083333333,0.8745677083333333
ood_params,tuned,0.9300000000000002,0.9500000000000002,0.687593854798211,0.48630100356207956,0.20129284900095729,0.5202573568270574,0.5610490735266228,0.6341237142479214,0.453282323532732,0.081975,0.8696475694444444,0.8596736111111111,0.8199670138888889
ood_background,tuned,0.9300000000000002,0.9500000000000002,1.141483614179823,0.5901572002304925,0.5513264172193076,0.5205316687743384,0.47121424755469365,0.5445830280592039,0.5461122305637137,0.11238368055555556,0.7450885416666667,0.8291788194444445,0.8262951388888888
