,precision,recall,f1-score,support
mean_shift,0.6479591836734694,0.5644444444444444,0.6033254156769596,225.0
variance_shift,0.5833333333333334,0.49777777777777776,0.5371702637889688,225.0
trend_shift,0.5655172413793104,0.36444444444444446,0.44324324324324327,225.0
point_anomaly,0.5247524752475248,0.4711111111111111,0.4964871194379391,225.0
collective_anomaly,0.9251101321585903,0.9333333333333333,0.9292035398230089,225.0
micro avg,0.6621621621621622,0.5662222222222222,0.6104456157163393,1125.0
macro avg,0.6493344731584456,0.5662222222222223,0.6018859163940239,1125.0
weighted avg,0.6493344731584457,0.5662222222222222,0.6018859163940239,1125.0
samples avg,0.6163194444444444,0.5444444444444444,0.5534722222222223,1125.0
