dataset,group_column,group,n_samples,exact_match_accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,samples_f1,hamming_loss,no_event_accuracy
ood_background,length,400,240,0.21666666666666667,0.5749057936602269,0.5413333333333333,0.5497506990316714,0.5702247191011236,0.5413333333333333,0.5554035567715458,0.51625,0.2708333333333333,0.2
ood_background,length,800,240,0.22916666666666666,0.6168549878391814,0.5813333333333334,0.5937579079736851,0.5972602739726027,0.5813333333333334,0.5891891891891892,0.5454166666666667,0.25333333333333335,0.13333333333333333
ood_background,length,1200,240,0.24583333333333332,0.6071149811409712,0.584,0.5905573956717594,0.5918918918918918,0.584,0.5879194630872483,0.5447222222222223,0.25583333333333336,0.13333333333333333
