dataset,setting,point_anomaly_threshold,collective_anomaly_threshold,loss,shift_loss,anomaly_loss,pointwise_macro_f1,pointwise_micro_f1,pointwise_macro_precision,pointwise_macro_recall,pointwise_hamming_loss,mean_shift_regime_accuracy,variance_shift_regime_accuracy,trend_shift_regime_accuracy
validation,tuned,0.9200000000000003,0.9400000000000002,0.4736513709028562,0.3040188108881315,0.16963255810551345,0.7391608245949215,0.7377187734442513,0.8113086284370692,0.7055229687486934,0.05034713541666667,0.90471484375,0.9139557291666667,0.8706315104166666
ood_params,tuned,0.9200000000000003,0.9400000000000002,0.6836665769418081,0.4144559383392334,0.2692106367399295,0.5274255523089636,0.5925329411554561,0.6646698063017996,0.4510207680533812,0.0712859375,0.8899609375,0.8671380208333334,0.8464453125
ood_background,tuned,0.9200000000000003,0.9400000000000002,0.9476414620876312,0.5228074113527934,0.4248340499897798,0.5343960634036198,0.4683952358858694,0.5829611820846192,0.520983219998377,0.10323958333333333,0.7824049479166667,0.84262109375,0.8266380208333334
