dataset,length,event,point_anomaly_threshold_default,point_anomaly_threshold_tuned,collective_anomaly_threshold_default,collective_anomaly_threshold_tuned,start_precision_default,start_precision_tuned,start_precision_change,start_recall_default,start_recall_tuned,start_recall_change,start_f1_default,start_f1_tuned,start_f1_change,fp_default,fp_tuned,fp_change,fn_default,fn_tuned,fn_change,mean_abs_start_error_default,mean_abs_start_error_tuned,mean_abs_start_error_change
ood_params,1200,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.1785714285395408,0.1785714285395408,0.0,0.10309278349452652,0.10309278349452652,0.0,0.13071894959032868,0.13071894959032868,0.0,46,46,0,87,87,0,31.7,31.7,0.0
ood_params,1200,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.05194805194130545,0.07142857137755101,0.019480519436245562,0.12121212117539026,0.030303030293847566,-0.0909090908815427,0.07272726851404984,0.042553187288366184,-0.030174081225683658,73,13,-60,29,32,3,12.75,0.0,-12.75
ood_params,1200,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5527950310215655,0.794642857071907,0.2418478260503415,0.9888888887790124,0.9888888887790124,0.0,0.7091633419571118,0.881188113783943,0.17202477182683118,72,23,-49,1,1,0,1.9775280898876404,1.9213483146067416,-0.05617977528089879
ood_background,400,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.1999999999764706,0.1999999999764706,0.0,0.1868131867926579,0.1868131867926579,0.0,0.1931818131656768,0.1931818131656768,0.0,68,68,0,74,74,0,6.764705882352941,6.764705882352941,0.0
ood_background,400,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.31578947360110804,0.31578947360110804,0.0,0.12121212119987756,0.12121212119987756,0.0,0.17518247771751302,0.17518247771751302,0.0,26,26,0,87,87,0,9.666666666666666,9.666666666666666,0.0
ood_background,400,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.12280701752231456,0.12280701752231456,0.0,0.06796116504194552,0.06796116504194552,0.0,0.08749999540234399,0.08749999540234399,0.0,50,50,0,96,96,0,7.857142857142857,7.857142857142857,0.0
ood_background,400,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.280701754361342,0.4693877550062474,0.18868600064490543,0.8648648646311176,0.6216216214536158,-0.2432432431775018,0.4238410558466735,0.5348837159031911,0.11104266005651758,82,26,-56,5,14,9,0.0,0.0,0.0
ood_background,400,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5869565216753309,0.8596491226562019,0.272692600980871,0.7199999999040001,0.6533333332462222,-0.06666666665777787,0.6467065818007102,0.7424242374047292,0.09571765560401901,38,8,-30,21,26,5,3.0185185185185186,2.857142857142857,-0.1613756613756614
ood_background,800,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.18032786883767804,0.18032786883767804,0.0,0.24444444441728397,0.24444444441728397,0.0,0.2075471649056605,0.2075471649056605,0.0,100,100,0,68,68,0,8.136363636363637,8.136363636363637,0.0
ood_background,800,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.3150684931075249,0.3150684931075249,0.0,0.2555555555271605,0.2555555555271605,0.0,0.2822085839768152,0.2822085839768152,0.0,50,50,0,67,67,0,16.391304347826086,16.391304347826086,0.0
ood_background,800,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.09876543208657218,0.09876543208657218,0.0,0.08247422679562122,0.08247422679562122,0.0,0.08988763547973769,0.08988763547973769,0.0,73,73,0,89,89,0,14.125,14.125,0.0
ood_background,800,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.1764705882249135,0.2916666666261574,0.11519607840124393,0.8108108105916727,0.5675675674141709,-0.2432432431775018,0.2898550694998716,0.38532109636225914,0.09546602686238753,140,51,-89,7,16,9,0.0,0.0,0.0
ood_background,800,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5327868852022306,0.7654320986709343,0.2326452134687037,0.8666666665511111,0.8266666665564445,-0.039999999994666635,0.6598984723749647,0.7948717897772848,0.1349733174023201,57,19,-38,10,13,3,3.4461538461538463,3.5806451612903225,0.13449131513647616
ood_background,1200,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.20799999998336002,0.20799999998336002,0.0,0.28571428568288854,0.28571428568288854,0.0,0.24074073584233552,0.24074073584233552,0.0,99,99,0,65,65,0,9.615384615384615,9.615384615384615,0.0
ood_background,1200,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.2063492063164525,0.2063492063164525,0.0,0.138297872325713,0.138297872325713,0.0,0.16560509071524215,0.16560509071524215,0.0,50,50,0,81,81,0,20.846153846153847,20.846153846153847,0.0
ood_background,1200,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.12121212119375575,0.12121212119375575,0.0,0.09195402297793633,0.09195402297793633,0.0,0.10457515847921763,0.10457515847921763,0.0,58,58,0,79,79,0,34.625,34.625,0.0
ood_background,1200,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.11382113820675524,0.2115384615181213,0.09771732331136607,0.7777777775617284,0.6111111109413581,-0.16666666662037033,0.198581558042352,0.31428571042040826,0.11570415237805626,218,82,-136,8,14,6,0.0,0.0,0.0
ood_background,1200,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.3636363636169178,0.691489361628565,0.3278529980116472,0.9066666665457779,0.8666666665511111,-0.039999999994666746,0.5190839653397239,0.7692307642029341,0.25014679886321023,119,29,-90,7,10,3,3.3823529411764706,3.3230769230769233,-0.0592760180995473
