dataset,exact_match_accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,samples_f1,hamming_loss,no_event_accuracy,setting
Validation Set: In-Distribution,0.40555555555555556,0.7575684245371215,0.6826666666666668,0.7139673984733896,0.75,0.6826666666666666,0.714751046998604,0.6699537037037037,0.17027777777777778,0.26666666666666666,default_0.5
OOD Test A: Shifted Event Parameters,0.2722222222222222,0.6493344731584456,0.5662222222222223,0.6018859163940239,0.6621621621621622,0.5662222222222222,0.6104456157163393,0.5534722222222223,0.22583333333333333,0.13333333333333333,default_0.5
OOD Test B: Harder Backgrounds,0.23055555555555557,0.5988763340795595,0.5688888888888889,0.5794822865569482,0.5866177818515124,0.5688888888888889,0.5776173285198556,0.535462962962963,0.26,0.15555555555555556,default_0.5
Validation Set: In-Distribution,0.4111111111111111,0.750646867293926,0.7128888888888889,0.7286808071522204,0.7432808155699722,0.7128888888888889,0.7277676950998185,0.6814814814814815,0.16666666666666666,0.24444444444444444,tuned
OOD Test A: Shifted Event Parameters,0.2777777777777778,0.6385467407084235,0.5964444444444444,0.6120931471493504,0.6470588235294118,0.5964444444444444,0.6207215541165587,0.5705555555555556,0.22777777777777777,0.2,tuned
OOD Test B: Harder Backgrounds,0.225,0.5779203428823163,0.6026666666666667,0.5816882770595483,0.5645295587010825,0.6026666666666667,0.5829750644883921,0.5507407407407408,0.26944444444444443,0.1111111111111111,tuned
