dataset,setting,point_anomaly_threshold,collective_anomaly_threshold,loss,shift_loss,anomaly_loss,pointwise_macro_f1,pointwise_micro_f1,pointwise_macro_precision,pointwise_macro_recall,pointwise_hamming_loss,mean_shift_regime_accuracy,variance_shift_regime_accuracy,trend_shift_regime_accuracy
validation,default_0.5,0.5,0.5,0.4736513709028562,0.3040188108881315,0.16963255810551345,0.678286890985991,0.7354683440595927,0.7251180474253524,0.744591553661715,0.051122395833333334,0.90471484375,0.9139557291666667,0.8706315104166666
ood_params,default_0.5,0.5,0.5,0.6836665769418081,0.4144559383392334,0.2692106367399295,0.5309961202621039,0.5938696525644056,0.6409674724743126,0.479184700829873,0.07159739583333333,0.8899609375,0.8671380208333334,0.8464453125
ood_background,default_0.5,0.5,0.5,0.9476414620876312,0.5228074113527934,0.4248340499897798,0.494884386293189,0.4677930040098741,0.5059774525011388,0.5806562719789454,0.10448567708333334,0.7824049479166667,0.84262109375,0.8266380208333334
