dataset,setting_default,point_anomaly_threshold_default,collective_anomaly_threshold_default,tp_default,fp_default,fn_default,tn_default,start_precision_default,start_recall_default,start_f1_default,start_specificity_default,start_balanced_accuracy_default,mean_abs_start_error_default,setting_tuned,point_anomaly_threshold_tuned,collective_anomaly_threshold_tuned,tp_tuned,fp_tuned,fn_tuned,tn_tuned,start_precision_tuned,start_recall_tuned,start_f1_tuned,start_specificity_tuned,start_balanced_accuracy_tuned,mean_abs_start_error_tuned,point_anomaly_threshold_change,collective_anomaly_threshold_change,tp_change,fp_change,fn_change,tn_change,start_precision_change,start_recall_change,start_f1_change,start_specificity_change,start_balanced_accuracy_change,mean_abs_start_error_change
ood_background,default_0.5,0.5,0.5,553,1587,1016,2758,0.25841121495206354,0.3524537922221004,0.2981935782929532,0.6347525891815081,0.49360319070180425,6.887884267631103,tuned,0.9200000000000003,0.9400000000000002,498,802,1071,3037,0.38307692307397634,0.31739961758879925,0.3471592839923895,0.7910914300578508,0.554245523823325,7.343373493975903,0.42000000000000026,0.44000000000000017,-55,-785,55,279,0.1246657081219128,-0.03505417463330113,0.04896570569943631,0.15633884087634264,0.060642333121520786,0.4554892263448007
ood_params,default_0.5,0.5,0.5,584,973,1032,3005,0.3750802825923245,0.3613861386116251,0.36810588847561415,0.7554047259910623,0.5583954323013437,7.4811643835616435,tuned,0.9200000000000003,0.9400000000000002,553,474,1063,3273,0.5384615384562955,0.34220297029491215,0.4184638620631602,0.8734987990369002,0.6078508846659062,8.613019891500905,0.42000000000000026,0.44000000000000017,-31,-499,31,268,0.163381255863971,-0.019183168316712962,0.05035797358754607,0.11809407304583786,0.0494554523645625,1.1318555079392612
validation,default_0.5,0.5,0.5,811,1174,776,2971,0.408564231735977,0.5110270951448581,0.45408734108416815,0.7167671893830717,0.613897142263965,6.594327990135635,tuned,0.9200000000000003,0.9400000000000002,773,483,814,3275,0.6154458598677115,0.4870825456806107,0.5437917643217762,0.8714741883957652,0.6792783670381879,6.567917205692108,0.42000000000000026,0.44000000000000017,-38,-691,38,304,0.2068816281317345,-0.0239445494642474,0.08970442323760808,0.15470699901269347,0.06538122477422292,-0.026410784443526403
