dataset,group_column,group,n_samples,exact_match_accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,samples_f1,hamming_loss,no_event_accuracy
validation,length,400,240,0.3333333333333333,0.7223523768147424,0.648,0.6737395522657588,0.7084548104956269,0.648,0.6768802228412256,0.6380555555555555,0.19333333333333333,0.13333333333333333
validation,length,800,240,0.42083333333333334,0.7602106625173823,0.7040000000000001,0.726941215371969,0.7521367521367521,0.704,0.7272727272727273,0.67125,0.165,0.4666666666666667
validation,length,1200,240,0.4625,0.7926592021982717,0.6960000000000001,0.7397202076200149,0.7909090909090909,0.696,0.7404255319148936,0.7005555555555555,0.1525,0.2
validation,scenario_group,anomaly_anomaly,45,0.4222222222222222,0.4,0.2577777777777778,0.3134246575342466,0.8055555555555556,0.6444444444444445,0.7160493827160493,0.6748148148148148,0.20444444444444446,
validation,scenario_group,no_event,45,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17333333333333334,0.26666666666666666
validation,scenario_group,shift_anomaly,270,0.3851851851851852,0.8524141720348617,0.6688888888888889,0.7452416503527354,0.861904761904762,0.6703703703703704,0.7541666666666667,0.7329629629629629,0.1748148148148148,
validation,scenario_group,shift_shift,135,0.25925925925925924,0.5356618649115192,0.35333333333333333,0.4221747775982794,0.775609756097561,0.5888888888888889,0.6694736842105263,0.6501234567901234,0.2325925925925926,
validation,scenario_group,single_event,225,0.5422222222222223,0.674345521958584,0.8399999999999999,0.7441393734584656,0.65625,0.84,0.7368421052631579,0.7392592592592592,0.12,
validation,background,linear,222,0.32882882882882886,0.7495101258894362,0.6723770472503706,0.7004846870773451,0.7444794952681388,0.644808743169399,0.6910688140556369,0.662912912912913,0.1900900900900901,0.2222222222222222
validation,background,linear+single_seasonality,144,0.3472222222222222,0.7152721547458389,0.6209502825898594,0.6632974111234982,0.7142857142857143,0.6222222222222222,0.665083135391924,0.6328703703703703,0.19583333333333333,0.5
validation,background,none,109,0.5504587155963303,0.6731381306865178,0.6480546480546481,0.6473684210526316,0.8089171974522293,0.7987421383647799,0.8037974683544303,0.7363914373088685,0.11376146788990826,0.4444444444444444
validation,background,quadratic_trend,101,0.4752475247524752,0.6651794035414725,0.6026610644257703,0.6285767529461601,0.7549668874172185,0.7450980392156863,0.75,0.681848184818482,0.1504950495049505,0.0
validation,background,single_seasonality,93,0.4838709677419355,0.6436226816661599,0.6051074010506059,0.6167515682149829,0.7388059701492538,0.7557251908396947,0.7471698113207547,0.6767025089605735,0.14408602150537633,0.25
validation,background,single_seasonality+linear,51,0.3137254901960784,0.6544444444444444,0.5388413547237076,0.5755784865540963,0.7536231884057971,0.5714285714285714,0.65,0.6274509803921569,0.2196078431372549,
ood_params,length,400,240,0.22916666666666666,0.6086114416857736,0.5493333333333335,0.572539914569129,0.622356495468278,0.5493333333333333,0.5835694050991501,0.5251388888888889,0.245,0.06666666666666667
ood_params,length,800,240,0.25,0.6194858409758736,0.5519999999999999,0.5822414896824346,0.6330275229357798,0.552,0.5897435897435898,0.5294444444444444,0.24,0.13333333333333333
ood_params,length,1200,240,0.3375,0.7251773173017154,0.5973333333333335,0.651013758857948,0.7368421052631579,0.5973333333333334,0.6597938144329897,0.6058333333333333,0.1925,0.2
ood_params,scenario_group,anomaly_anomaly,45,0.2222222222222222,0.4,0.2311111111111111,0.26926910299003326,0.7222222222222222,0.5777777777777777,0.6419753086419753,0.6333333333333333,0.2577777777777778,
ood_params,scenario_group,no_event,45,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.13333333333333333
ood_params,scenario_group,shift_anomaly,270,0.23703703703703705,0.7199054016043924,0.5437037037037037,0.6139461722147626,0.7623762376237624,0.5703703703703704,0.652542372881356,0.6238271604938271,0.24296296296296296,
ood_params,scenario_group,shift_shift,135,0.17777777777777778,0.5160526315789473,0.2888888888888889,0.36145331325301205,0.7065217391304348,0.48148148148148145,0.5726872246696035,0.542469135802469,0.2874074074074074,
ood_params,scenario_group,single_event,225,0.4088888888888889,0.5829840401276789,0.6533333333333333,0.6150216782025673,0.5833333333333334,0.6533333333333333,0.6163522012578616,0.5703703703703703,0.16266666666666665,
