dataset,setting,point_anomaly_threshold,collective_anomaly_threshold,tp,fp,fn,tn,start_precision,start_recall,start_f1,start_specificity,start_balanced_accuracy,mean_abs_start_error
ood_background,default_0.5,0.5,0.5,413,1228,764,2043,0.25167580743295753,0.35089209855266873,0.29311568001637306,0.6245796392521413,0.48773586890240506,5.738498789346247
ood_params,default_0.5,0.5,0.5,453,683,757,2273,0.39876760563029257,0.3743801652861622,0.3861892533137031,0.7689445196185083,0.5716623424523353,6.693156732891833
validation,default_0.5,0.5,0.5,626,924,559,2233,0.4038709677393299,0.5282700421896349,0.4577696477365267,0.7073170731684912,0.6177935576790631,6.781150159744409
