epoch,learning_rate,train_loss,train_shift_loss,train_anomaly_loss,train_pointwise_macro_f1,train_pointwise_micro_f1,train_pointwise_macro_precision,train_pointwise_macro_recall,train_pointwise_hamming_loss,train_mean_shift_regime_accuracy,train_variance_shift_regime_accuracy,train_trend_shift_regime_accuracy,val_loss,val_shift_loss,val_anomaly_loss,val_pointwise_macro_f1,val_pointwise_micro_f1,val_pointwise_macro_precision,val_pointwise_macro_recall,val_pointwise_hamming_loss,val_mean_shift_regime_accuracy,val_variance_shift_regime_accuracy,val_trend_shift_regime_accuracy
1,0.001,0.9315681938330332,0.5646000957489014,0.3669680981834729,0.09392224448915922,0.08961908187518072,0.16641327027662473,0.17446960506858694,0.121014375,0.8225971354166667,0.8136434895833333,0.8277536458333333,0.8014710585276286,0.5282707422971725,0.2732003132502238,0.08138503409915507,0.07963573183152597,0.15265075990651367,0.1791379692921541,0.1200140625,0.8271315104166667,0.8191848958333333,0.829484375
2,0.001,0.7456712178389231,0.5197091243664423,0.22596209367116293,0.13950061695643057,0.08417518346755495,0.3897386528681987,0.21769454787721298,0.11160598958333333,0.8283234375,0.8283911458333333,0.830446875,0.7399934430917104,0.5197178065776825,0.220275633285443,0.12744564627830285,0.08502199658811671,0.4051005452847319,0.35938023038677464,0.11606901041666666,0.8271328125,0.8191822916666667,0.829484375
3,0.001,0.6895051620403926,0.5000577253103257,0.18944743551313878,0.18222915645504867,0.11331391540847878,0.4664561143808238,0.3344592866273476,0.10914791666666666,0.8279276041666667,0.8293484375,0.8305455729166666,0.7135516812403997,0.4990672032038371,0.21448447530468304,0.17531812686346465,0.08771707279946216,0.5661748563510292,0.33654621095007203,0.112371875,0.8271302083333333,0.819609375,0.8295546875
4,0.001,0.6633686174949011,0.4880146292845408,0.17535398659606774,0.20632787783770673,0.14161750516169863,0.47960289207621487,0.36261333836204923,0.10772588541666667,0.82711015625,0.8332661458333334,0.82993984375,0.6939271112283071,0.4877164969841639,0.20621061213314534,0.24579711210743344,0.1715996803769575,0.46715913127686326,0.39757438499859543,0.10475208333333333,0.8244010416666666,0.8310169270833333,0.8293828125
5,0.001,0.6274867318073909,0.46242041190465294,0.16506631908317407,0.29538420956194045,0.2589559013610608,0.5147419249503358,0.4180051773735108,0.10292859375,0.8283697916666667,0.8426143229166667,0.8310364583333333,0.6726781199375789,0.47918617725372314,0.19349194020032884,0.2863579146094081,0.2021432487663859,0.6133681987190227,0.3623021304888786,0.10421484375,0.8294010416666666,0.8306875,0.8299322916666667
6,0.001,0.5837886877854666,0.44098798394203187,0.14280070558190347,0.3464335461574893,0.32514886583296615,0.5185704872230333,0.46360236943196603,0.09938989583333334,0.8289421875,0.84733203125,0.835053125,0.6303252895673116,0.4338643342256546,0.1964609608054161,0.37335841888298144,0.34106382099432025,0.6123232792151379,0.45222141559177925,0.09550130208333334,0.8391119791666667,0.8487083333333333,0.8351927083333334
7,0.001,0.5702477327982585,0.4237969229618708,0.14645081048210462,0.3996169439850942,0.39943617255491304,0.5436850100253994,0.504065502711301,0.09391119791666666,0.83844765625,0.8568390625,0.8370153645833334,0.5996300975481669,0.4470098266998927,0.15262027084827423,0.4054175934031532,0.4425673702531276,0.4826333510655152,0.5693045305673445,0.09941927083333334,0.8440026041666666,0.8243763020833333,0.8309205729166667
8,0.001,0.5550849239031473,0.4166056321064631,0.13847929198294878,0.41701994706821044,0.42213418750741016,0.546005223276498,0.52660523036987,0.09214765625,0.841628125,0.8592138020833333,0.8356252604166666,0.5791988988717397,0.43108030458291374,0.1481185923020045,0.4548783991794533,0.5022711629246682,0.4889941520731894,0.6208694664677704,0.09585026041666667,0.841296875,0.8293606770833334,0.83662109375
9,0.001,0.5397016664346059,0.4069234818220139,0.13277818351984025,0.44962047827259466,0.4614314108305413,0.5723364858900308,0.5483580511218913,0.08759848958333333,0.84970625,0.8625598958333334,0.8426869791666667,0.5463988234599432,0.4018051733573278,0.14459365084767342,0.4759409615343865,0.5058557243430182,0.5746213826857398,0.5784044995765089,0.08550729166666667,0.8516953125,0.86262890625,0.8395494791666667
10,0.001,0.5214521229267121,0.4003976432482402,0.12105447930594285,0.45392976513132866,0.4725074476605956,0.5694278296247006,0.5591697736808207,0.08678104166666667,0.8498921875,0.8671627604166666,0.8424760416666667,0.602107098698616,0.418603707353274,0.18350339494645596,0.47546285627113727,0.4702347975201161,0.6501168832660915,0.5266327932964231,0.08366979166666667,0.8538528645833333,0.868890625,0.83903125
11,0.001,0.5087855714559555,0.39247426797946294,0.11631130418429772,0.4762178438875203,0.5023773180187112,0.565331927895471,0.5833072443744314,0.08484588541666667,0.8522911458333333,0.8693794270833334,0.8426135416666667,0.5984728753566741,0.4105344225962957,0.18793845685819785,0.4806617149053191,0.480926103646833,0.6406225243125858,0.5396564951668326,0.08338489583333333,0.8532044270833333,0.8651236979166667,0.8412890625
12,0.001,0.49727741062641145,0.3829326562086741,0.11434475446740787,0.4954337790226928,0.5253655728409368,0.6009318991396707,0.5908135765341341,0.0800434375,0.85812421875,0.8782770833333333,0.8474341145833333,0.5269451022148133,0.3999559690554937,0.12698913229008515,0.479945080328672,0.5336238780911264,0.5232628129554626,0.632274372756324,0.08912083333333333,0.8516588541666666,0.8481510416666667,0.8370520833333334
13,0.001,0.4794491485754649,0.38123404343922934,0.0982151051859061,0.4954941539827865,0.5249973956431937,0.5892100120060617,0.5973962638677851,0.08098203125,0.8598619791666666,0.8758567708333334,0.8450013020833333,0.7717306246360143,0.43855849107106526,0.3331721402704716,0.46921175215453054,0.4718948540996044,0.6759643279612279,0.5234925458947821,0.08284140625,0.850546875,0.87072265625,0.8421861979166667
14,0.001,0.5003240062793096,0.3827499391635259,0.11757406840721767,0.5052398243611671,0.5447561260461946,0.5897813776183135,0.6114486498135883,0.07907640625,0.8640380208333334,0.8791302083333333,0.8469153645833334,0.5115915417671204,0.3911337087551753,0.12045782618224621,0.4746821511289731,0.5195866266352508,0.5740277310555946,0.6038315903452847,0.08596484375,0.8540859375,0.85050390625,0.8445651041666666
15,0.001,0.46760386029879253,0.37356082975864413,0.09404303104927142,0.5170731245985715,0.5478060733578483,0.6061805424169893,0.6147828733994111,0.07786244791666666,0.86238203125,0.88110859375,0.8483549479166667,0.7265751739343007,0.4300847123066584,0.29649045933038,0.5223540442317987,0.506166718515062,0.6853029337277865,0.5406486268873631,0.07937135416666667,0.8582109375,0.87328515625,0.8412526041666667
16,0.001,0.4838314354419708,0.374488116701444,0.10934331962217887,0.5090864852327103,0.546653944619262,0.5979347314789952,0.6079318337598018,0.0782478125,0.86308671875,0.8808229166666667,0.84659609375,0.5268745909134547,0.38363019227981565,0.14324440031001964,0.5344612786107741,0.5802454300175389,0.6159508615143515,0.634180746632443,0.07641041666666666,0.8564296875,0.8793515625,0.8508372395833333
17,0.001,0.4648570837577184,0.3654061681032181,0.09945091548065345,0.5264629726745496,0.5690787321878192,0.6082296519861746,0.6295247967983117,0.075481875,0.8657848958333333,0.8862283854166667,0.8508830729166666,0.5156182100375494,0.39555232524871825,0.12006588466465473,0.5030886113801019,0.5744433638736756,0.5225244719730928,0.67868558089935,0.08660520833333334,0.8482643229166666,0.8450533854166666,0.8478736979166667
18,0.001,0.47060980518658957,0.36948315540949506,0.10112664815038443,0.5157637455191717,0.559220625673395,0.5986261705573789,0.6243923534746918,0.0770475,0.8647419270833333,0.8825877604166666,0.8492721354166667,0.5066096941630046,0.37389206190903984,0.13271763051549593,0.5393839896739757,0.584963100922827,0.5975501946872847,0.6439686619395251,0.0771828125,0.8658046875,0.8707174479166667,0.8519192708333333
19,0.001,0.44739383856455484,0.3570621330539385,0.0903317062308391,0.5432806038300615,0.5855920964882748,0.6170595117690199,0.6429158546950657,0.07346791666666666,0.86976171875,0.88780078125,0.8533096354166667,0.5048759013414383,0.38798696994781495,0.11688893760244051,0.5275194404557662,0.5725108253390023,0.5496221018723231,0.6621156143098927,0.08520104166666667,0.8415885416666666,0.8530260416666666,0.8506328125
20,0.001,0.45211653371651966,0.35773300111293793,0.09438353298231959,0.5440881299878214,0.5857358136173134,0.6132903026034442,0.6458937653004551,0.07379395833333334,0.8635080729166666,0.8911578125,0.8535752604166666,0.4884169081846873,0.3717633575201035,0.11665355004370212,0.4994302216089494,0.5590533946581995,0.5958727906508292,0.6259006401373763,0.07869427083333333,0.8669921875,0.8794153645833334,0.8474401041666667
21,0.001,0.4326021142800649,0.3537194639444351,0.07888265015557408,0.5442478970355216,0.5887667080903075,0.618644255256278,0.6446090181191609,0.072870625,0.87076171875,0.8899598958333333,0.8526927083333333,0.5463630596796671,0.37409633696079253,0.1722667183727026,0.5472635006973823,0.5875375169311001,0.6570360079162695,0.631384612921531,0.07200520833333333,0.8699765625,0.88455859375,0.8516875
22,0.001,0.44010356376568477,0.34934237202008567,0.09076119218021632,0.5635534954797226,0.6140671569971246,0.6363008447102187,0.662359036376529,0.06892479166666667,0.8773338541666666,0.8972197916666667,0.8543171875,0.4875491549571355,0.3720148553450902,0.1155342984944582,0.5083566894843801,0.583385141332666,0.5478696061252355,0.6670111666503953,0.08149713541666667,0.86158203125,0.8679088541666666,0.84855078125
