,precision,recall,f1-score,support
mean_shift,0.6616915422885572,0.44333333333333336,0.530938123752495,300.0
variance_shift,0.9203539823008849,0.3466666666666667,0.5036319612590799,300.0
trend_shift,0.6615384615384615,0.43,0.5212121212121212,300.0
point_anomaly,0.5810055865921788,0.3466666666666667,0.4342379958246347,300.0
collective_anomaly,0.9722222222222222,0.9333333333333333,0.9523809523809523,300.0
micro avg,0.7684426229508197,0.5,0.6058158319870759,1500.0
macro avg,0.7593623589884609,0.5,0.5884802308858567,1500.0
weighted avg,0.7593623589884609,0.5,0.5884802308858565,1500.0
samples avg,0.6321180555555554,0.4822916666666667,0.5251041666666667,1500.0
