,precision,recall,f1-score,support
mean_shift,0.5892116182572614,0.6311111111111111,0.6094420600858369,225.0
variance_shift,0.6535947712418301,0.4444444444444444,0.5291005291005291,225.0
trend_shift,0.546875,0.4666666666666667,0.5035971223021583,225.0
point_anomaly,0.5245098039215687,0.47555555555555556,0.4988344988344988,225.0
collective_anomaly,0.8785425101214575,0.9644444444444444,0.9194915254237288,225.0
micro avg,0.6470588235294118,0.5964444444444444,0.6207215541165587,1125.0
macro avg,0.6385467407084235,0.5964444444444444,0.6120931471493504,1125.0
weighted avg,0.6385467407084234,0.5964444444444444,0.6120931471493504,1125.0
samples avg,0.6230324074074074,0.5722222222222222,0.5705555555555556,1125.0
