,precision,recall,f1-score,support
mean_shift,0.45,0.64,0.5284403669724771,225.0
variance_shift,0.5592105263157895,0.37777777777777777,0.4509283819628647,225.0
trend_shift,0.4889705882352941,0.5911111111111111,0.5352112676056338,225.0
point_anomaly,0.6561264822134387,0.7377777777777778,0.694560669456067,225.0
collective_anomaly,0.7352941176470589,0.6666666666666666,0.6993006993006993,225.0
micro avg,0.5645295587010825,0.6026666666666667,0.5829750644883921,1125.0
macro avg,0.5779203428823163,0.6026666666666667,0.5816882770595483,1125.0
weighted avg,0.5779203428823163,0.6026666666666667,0.5816882770595484,1125.0
samples avg,0.5834490740740741,0.5743055555555555,0.5507407407407408,1125.0
