dataset,group_column,group,n_samples,exact_match_accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,samples_f1,hamming_loss,no_event_accuracy
ood_params,length,400,240,0.22916666666666666,0.6086114416857736,0.5493333333333335,0.572539914569129,0.622356495468278,0.5493333333333333,0.5835694050991501,0.5251388888888889,0.245,0.06666666666666667
ood_params,length,800,240,0.25,0.6194858409758736,0.5519999999999999,0.5822414896824346,0.6330275229357798,0.552,0.5897435897435898,0.5294444444444444,0.24,0.13333333333333333
ood_params,length,1200,240,0.3375,0.7251773173017154,0.5973333333333335,0.651013758857948,0.7368421052631579,0.5973333333333334,0.6597938144329897,0.6058333333333333,0.1925,0.2
