length,event,tolerance_points_default,shift_min_persistence_default,tp_default,fp_default,fn_default,tn_default,start_precision_default,start_recall_default,start_f1_default,start_specificity_default,start_balanced_accuracy_default,mean_abs_start_error_default,dataset,setting_default,point_anomaly_threshold_default,collective_anomaly_threshold_default,tolerance_points_tuned,shift_min_persistence_tuned,tp_tuned,fp_tuned,fn_tuned,tn_tuned,start_precision_tuned,start_recall_tuned,start_f1_tuned,start_specificity_tuned,start_balanced_accuracy_tuned,mean_abs_start_error_tuned,setting_tuned,point_anomaly_threshold_tuned,collective_anomaly_threshold_tuned,tolerance_points_change,shift_min_persistence_change,tp_change,fp_change,fn_change,tn_change,start_precision_change,start_recall_change,start_f1_change,start_specificity_change,start_balanced_accuracy_change,mean_abs_start_error_change,point_anomaly_threshold_change,collective_anomaly_threshold_change
400,mean_shift,20,40.0,43,28,83,213,0.605633802731601,0.3412698412427564,0.43654821869566346,0.8838174273492192,0.6125436342959878,5.930232558139535,validation,default_0.5,0.5,0.5,20,40.0,43,28,83,213,0.605633802731601,0.3412698412427564,0.43654821869566346,0.8838174273492192,0.6125436342959878,5.930232558139535,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,variance_shift,20,40.0,48,35,79,211,0.5783132529423719,0.3779527558757518,0.45714285231882096,0.8577235772009055,0.6178381665383287,6.458333333333333,validation,default_0.5,0.5,0.5,20,40.0,48,35,79,211,0.5783132529423719,0.3779527558757518,0.45714285231882096,0.8577235772009055,0.6178381665383287,6.458333333333333,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,trend_shift,20,40.0,16,25,104,217,0.39024390234384293,0.13333333332222222,0.19875776015431507,0.8966942148389796,0.5150137740806009,9.1875,validation,default_0.5,0.5,0.5,20,40.0,16,25,104,217,0.39024390234384293,0.13333333332222222,0.19875776015431507,0.8966942148389796,0.5150137740806009,9.1875,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
400,point_anomaly,20,,45,97,6,201,0.3169014084283872,0.8823529410034602,0.4663212395865661,0.6744966442726679,0.7784247926380641,0.0,validation,default_0.5,0.5,0.5,20,,34,21,17,250,0.6181818180694215,0.6666666665359477,0.6415094288483447,0.92250922505821,0.7945879457970788,0.0,tuned,0.9200000000000003,0.9400000000000002,0,,-11,-76,11,49,0.3012804096410343,-0.21568627446751243,0.1751881892617786,0.2480125807855421,0.01616315315901473,0.0,0.42000000000000026,0.44000000000000017
400,collective_anomaly,20,,88,36,12,197,0.7096774192976067,0.8799999999120001,0.7857142807015308,0.8454935621954723,0.8627467810537361,1.875,validation,default_0.5,0.5,0.5,20,,79,10,21,218,0.8876404493384674,0.789999999921,0.8359788309073095,0.956140350835257,0.8730701753781285,1.7848101265822784,tuned,0.9200000000000003,0.9400000000000002,0,,-9,-26,9,21,0.17796303004086067,-0.08999999999100006,0.05026455020577869,0.11064678863978461,0.010323394324392332,-0.09018987341772156,0.42000000000000026,0.44000000000000017
800,mean_shift,40,80.0,57,28,73,209,0.6705882352152249,0.4384615384278106,0.5302325533092482,0.8818565400471791,0.6601590392374949,7.894736842105263,validation,default_0.5,0.5,0.5,40,80.0,57,28,73,209,0.6705882352152249,0.4384615384278106,0.5302325533092482,0.8818565400471791,0.6601590392374949,7.894736842105263,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,variance_shift,40,80.0,57,30,72,217,0.6551724137177963,0.4418604650820263,0.5277777729179527,0.8785425100858889,0.6602014875839576,12.017543859649123,validation,default_0.5,0.5,0.5,40,80.0,57,30,72,217,0.6551724137177963,0.4418604650820263,0.5277777729179527,0.8785425100858889,0.6602014875839576,12.017543859649123,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,trend_shift,40,80.0,18,57,108,206,0.23999999996800003,0.142857142845805,0.17910447291601708,0.7832699619474042,0.46306355239660457,19.333333333333332,validation,default_0.5,0.5,0.5,40,80.0,18,57,108,206,0.23999999996800003,0.142857142845805,0.17910447291601708,0.7832699619474042,0.46306355239660457,19.333333333333332,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,point_anomaly,40,,48,151,4,179,0.24120603013863284,0.9230769228994082,0.38247011620640947,0.5424242424078053,0.7327505826536067,0.0,validation,default_0.5,0.5,0.5,40,,45,33,7,240,0.5769230768491125,0.8653846152181952,0.6923076874011835,0.8791208790886769,0.872252747153436,0.0,tuned,0.9200000000000003,0.9400000000000002,0,,-3,-118,3,61,0.33571704671047964,-0.05769230768121303,0.30983757119477406,0.3366966366808716,0.13950216449982933,0.0,0.42000000000000026,0.44000000000000017
800,collective_anomaly,40,,98,133,2,166,0.4242424242240588,0.979999999902,0.5921450108531322,0.5551839464697262,0.7675919731858631,2.4591836734693877,validation,default_0.5,0.5,0.5,40,,95,14,5,218,0.8715596329475633,0.9499999999050001,0.9090909040131866,0.9396551723732907,0.9448275861391453,2.1578947368421053,tuned,0.9200000000000003,0.9400000000000002,0,,-3,-119,3,52,0.44731720872350456,-0.029999999996999982,0.3169458931600544,0.3844712259035644,0.17723561295328216,-0.3012889366272824,0.42000000000000026,0.44000000000000017
